,Title,Abstract,Journal,Language,Year,Month,Authors,Affiliations,Name,Abbr Name,ISSN,EISSN,Impact_Factor,Impact_Factor_5Years,Journal_Category,Universities,Study_Type_Extracted,Standardized_University,Rank,Research_Score,Rank_Median,Research_Score_Category
0,prevalence and association of sleep duration and different volumes of physical activity with type 2 diabetes: the first evidence from charls.,this study aimed to examine the prevalence of type 2 diabetes (t2d) and the independent and joint associations of sleep duration and different volumes of physical activity (pa) with t2d in the china health and retirement longitudinal study (charls).,bmc public health,eng,2024,Nov,"Zhou Zigui, Tian Xuewen","school of exercise and health, shanghai university of sport, 200 hengren road, yangpu district, shanghai, 200438, china., school of exercise and health, shanghai university of sport, 200 hengren road, yangpu district, shanghai, 200438, china. xuewentian1978@163.com.",bmc public health,bmc public health,,1471-2458,3.5,3.9,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|84/403","school of exercise and health, shanghai university of sport, school of exercise and health, shanghai university of sport",Unknown,shanghai university,501–600,38.0,550.5,Low (0-50)
1,the impact of pparγ and apoe gene polymorphisms on susceptibility to diabetic kidney disease in type 2 diabetes mellitus: a meta-analysis.,"globally, diabetic kidney disease (dkd) has become the leading cause of end-stage renal disease, imposing substantial social and economic costs. this meta-analysis was designed to provide valuable insights into gene-disease interactions by investigating the potential association between lipid metabolism gene polymorphisms and the risk of dkd.",bmc nephrology,eng,2024,Nov,"Taurbekova Binura, Mukhtarova Kymbat, Salpynov Zhandos, Atageldiyeva Kuralay, Sarria-Santamera Antonio","department of biomedical sciences, school of medicine, nazarbayev university, astana, kazakhstan. binura.taurbekova@nu.edu.kz., department of biomedical sciences, school of medicine, nazarbayev university, astana, kazakhstan., department of surgery, school of medicine, nazarbayev university, astana, kazakhstan., department of medicine, school of medicine, nazarbayev university, astana, kazakhstan., department of biomedical sciences, school of medicine, nazarbayev university, astana, kazakhstan.",bmc nephrology,bmc nephrol,,1471-2369,2.2,2.6,UROLOGY & NEPHROLOGY|Q2|54/126,"school of medicine, nazarbayev university, school of medicine, nazarbayev university, school of medicine, nazarbayev university, school of medicine, nazarbayev university, school of medicine, nazarbayev university",meta-analysis,nazarbayev university,501–600,29.5,550.5,Low (0-50)
2,immune checkpoint landscape of human atherosclerosis and influence of cardiometabolic factors.,"immune checkpoint inhibitor (ici) therapies can increase the risk of cardiovascular events in survivors of cancer by worsening atherosclerosis. here we map the expression of immune checkpoints (ics) within human carotid and coronary atherosclerotic plaques, revealing a network of immune cell interactions that ici treatments can unintentionally target in arteries. we identify a population of mature, regulatory ccr7<sup>+</sup>fscn1<sup>+</sup> dendritic cells, similar to those described in tumors, as a hub of ic-mediated signaling within plaques. additionally, we show that type 2 diabetes and lipid-lowering therapies alter immune cell interactions through pd-1, ctla4, lag3 and other ic targets in clinical development, impacting plaque inflammation. this comprehensive map of the ic interactome in healthy and cardiometabolic disease states provides a framework for understanding the potential adverse and beneficial impacts of approved and investigational icis on atherosclerosis, setting the stage for designing ici strategies that minimize cardiovascular disease risk in cancer survivors.",nature cardiovascular research,eng,2024,Nov,"Barcia Durán José Gabriel, Das Dayasagar, Gildea Michael, Amadori Letizia, Gourvest Morgane, Kaur Ravneet, Eberhardt Natalia, Smyrnis Panagiotis, Cilhoroz Burak, Sajja Swathy, Rahman Karishma, Fernandez Dawn M, Faries Peter, Narula Navneet, Vanguri Rami, Goldberg Ira J, Fisher Edward A, Berger Jeffrey S, Moore Kathryn J, Giannarelli Chiara","nyu cardiovascular research center, division of cardiology, department of medicine, new york university grossman school of medicine, new york, ny, usa., nyu cardiovascular research center, division of cardiology, department of medicine, new york university grossman school of medicine, new york, ny, usa., nyu cardiovascular research center, division of cardiology, department of medicine, new york university grossman school of medicine, new york, ny, usa., nyu cardiovascular research center, division of cardiology, department of medicine, new york university grossman school of medicine, new york, ny, usa., nyu cardiovascular research center, division of cardiology, department of medicine, new york university grossman school of medicine, new york, ny, usa., nyu cardiovascular research center, division of cardiology, department of medicine, new york university grossman school of medicine, new york, ny, usa., nyu cardiovascular research center, division of cardiology, department of medicine, new york university grossman school of medicine, new york, ny, usa., nyu cardiovascular research center, division of cardiology, department of medicine, new york university grossman school of medicine, new york, ny, usa., nyu cardiovascular research center, division of cardiology, department of medicine, new york university grossman school of medicine, new york, ny, usa., nyu cardiovascular research center, division of cardiology, department of medicine, new york university grossman school of medicine, new york, ny, usa., division of cardiology, department of medicine, icahn school of medicine at mount sinai, new york, ny, usa., division of cardiology, department of medicine, icahn school of medicine at mount sinai, new york, ny, usa., department of surgery, vascular division, icahn school of medicine at mount sinai, new york, ny, usa., department of pathology, new york university grossman school of medicine, new york university langone health, new york, ny, usa., division of precision medicine, department of medicine, new york university grossman school of medicine, new york, ny, usa., division of endocrinology, department of medicine, new york university grossman school of medicine, new york, ny, usa., nyu cardiovascular research center, division of cardiology, department of medicine, new york university grossman school of medicine, new york, ny, usa., nyu cardiovascular research center, division of cardiology, department of medicine, new york university grossman school of medicine, new york, ny, usa., nyu cardiovascular research center, division of cardiology, department of medicine, new york university grossman school of medicine, new york, ny, usa. kathryn.moore@nyulangone.org., nyu cardiovascular research center, division of cardiology, department of medicine, new york university grossman school of medicine, new york, ny, usa. chiara.giannarelli@nyulangone.org.",nature cardiovascular research,nat cardiovasc res,,2731-0590,9.4,9.4,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|13/220,"nyu cardiovascular research center, department of medicine, new york university, grossman school of medicine, nyu cardiovascular research center, division of cardiology, department of medicine, new york university, grossman school of medicine, nyu cardiovascular research center, division of cardiology, department of medicine, new york university, grossman school of medicine, nyu cardiovascular research center, division of cardiology, new york university, grossman school of medicine, nyu cardiovascular research center, division of cardiology, new york university, grossman school of medicine, nyu cardiovascular research center, division of cardiology, new york university, grossman school of medicine, nyu cardiovascular research center, division of cardiology, new york university, grossman school of medicine, nyu cardiovascular research center, division of cardiology, new york university, grossman school of medicine, nyu cardiovascular research center, division of cardiology, new york university, grossman school of medicine, nyu cardiovascular research center, division of cardiology, new york university, grossman school of medicine, division of cardiology, icahn school of medicine, division of cardiology, icahn school of medicine, icahn school of medicine, new york university, grossman school of medicine, new york university langone health",clinical development,york university,351–400,32.4,375.5,Low (0-50)
3,ezrin drives adaptation of monocytes to the inflamed lung microenvironment.,"ezrin, an actin-binding protein, orchestrates the organization of the cortical cytoskeleton and plasma membrane during cell migration, adhesion, and proliferation. its role in monocytes/macrophages (mφs) is less understood. here, we used a monocyte/mφ-specific ezrin knock-out mouse model to investigate the contribution of ezrin to monocyte recruitment and adaptation to the lung extracellular matrix (ecm) in response to lipopolysaccharide (lps). our study revealed that lps induces ezrin expression in monocytes/mφs and is essential for monocytes to adhere to lung ecm, proliferate, and differentiate into tissue-resident interstitial mφs. mechanistically, the loss of ezrin in monocytes disrupts activation of focal adhesion kinase and akt serine-threonine protein kinase signaling, essential for lung-recruited monocytes and monocyte-derived mφs to adhere to the ecm, proliferate, and survive. in summary, our data show that ezrin plays a role beyond structural cellular support, influencing diverse monocytes/mφ processes and signaling pathways during inflammation, facilitating their differentiation into tissue-resident macrophages.",cell death & disease,eng,2024,Nov,"Gudneppanavar Ravindra, Di Pietro Caterina, H Öz Hasan, Zhang Ping-Xia, Cheng Ee-Chun, Huang Pamela H, Tebaldi Toma, Biancon Giulia, Halene Stephanie, Hoppe Adam D, Kim Catherine, Gonzalez Anjelica L, Krause Diane S, Egan Marie E, Gupta Neetu, Murray Thomas S, Bruscia Emanuela M","department of pediatrics, school of medicine, yale university, new haven, ct, usa., department of pediatrics, school of medicine, yale university, new haven, ct, usa., department of pediatrics, school of medicine, yale university, new haven, ct, usa., department of pediatrics, school of medicine, yale university, new haven, ct, usa., department of pediatrics, school of medicine, yale university, new haven, ct, usa., department of pediatrics, school of medicine, yale university, new haven, ct, usa., yale stem cell center, school of medicine, yale university, new haven, ct, usa., yale stem cell center, school of medicine, yale university, new haven, ct, usa., yale stem cell center, school of medicine, yale university, new haven, ct, usa., department of chemistry and biochemistry, south dakota state university, brookings, sd, usa., department of biomedical engineering, yale university, new haven, ct, usa., department of biomedical engineering, yale university, new haven, ct, usa., yale stem cell center, school of medicine, yale university, new haven, ct, usa., department of pediatrics, school of medicine, yale university, new haven, ct, usa., department of inflammation and immunity, cleveland clinic foundation, cleveland, oh, usa., department of pediatrics, school of medicine, yale university, new haven, ct, usa., department of pediatrics, school of medicine, yale university, new haven, ct, usa. emanuela.bruscia@yale.edu.",cell death & disease,cell death dis,2041-4889,2041-4889,8.1,8.6,CELL BIOLOGY|Q1|33/205,"school of medicine, yale university, school of medicine, yale university, school of medicine, yale university, school of medicine, yale university, school of medicine, yale university, school of medicine, yale university, yale stem cell center, school of medicine, yale university, yale stem cell center, school of medicine, yale university, yale stem cell center, school of medicine, yale university, south dakota state university, yale university, yale university, yale stem cell center, school of medicine, yale university, school of medicine, yale university, cleveland clinic foundation, school of medicine, yale university, school of medicine, yale university",Unknown,yale university,10,94.9,10.0,High (75-100)
4,determining the quality of life and associated factors in patients with pressure injury.,this study aimed to determine the quality of life of patients with pressure injuries and the factors associated with them.,journal of tissue viability,eng,2024,Nov,"Gül Şenay, Demir Ayşe Sılanur, Karadağ Ayişe, Karaçay Pelin","faculty of nursing, hacettepe university, ankara, turkiye. electronic address: senaygundogmus@gmail.com., school of nursing, koc university, i̇stanbul, turkiye., school of nursing, koc university, i̇stanbul, turkiye., school of nursing, koc university, i̇stanbul, turkiye.",journal of tissue viability,j tissue viability,0965-206X,1876-4746,2.4,2.9,NURSING|Q1|35/191,"hacettepe university, koc university, school of nursing, koc university, school of nursing, koc university",Unknown,hacettepe university,601–800,26.8,700.5,Low (0-50)
5,"investigating the effect of verapamil on preservation of beta-cell function in adults with newly diagnosed type 1 diabetes mellitus (ver-a-t1d): protocol for a randomised, double-blind, placebo-controlled, parallel-group, multicentre trial.","type 1 diabetes mellitus (t1dm) is a disorder that arises following the selective autoimmune destruction of the insulin-producing beta cells. beta-cell protective or beta-cell regenerative approaches have gained wider attention, and pharmacological approaches to protect the patient's own insulin-producing beta-cell mass have been proposed. verapamil is an l-type calcium channel blocker that has been reported to effectively lowers beta-cell thioredoxin-interacting protein expression in rodent beta cells and islets, as well as in human islets, and thus promotes functional beta-cell mass.",bmj open,eng,2024,Nov,"Wych Julie, Brunner Martina, Stenson Rachel, Chmura Piotr Jaroslaw, Danne Thomas, Mander Adrian Paul, Mathieu Chantal, Dayan Colin, Pieber Thomas R","centre for trials research, cardiff university, cardiff, uk wychj@cardiff.ac.uk., department of internal medicine, division of endocrinology and diabetology, medical university of graz, graz, austria., diabetes research group, cardiff university, cardiff, uk., center for protein research, kobenhavns universitet sundhedsvidenskabelige fakultet, kobenhavn, denmark., department of general pediatrics endocrinology/diabetology & clinical research, auf der bult children's hospital, hannover, germany., centre for trials research, cardiff university, cardiff, uk., katholieke universiteit leuven, uz leuven, leuven, belgium., cardiff university school of medicine, cardiff university, cardiff, uk., department of internal medicine, division of endocrinology and diabetology, medical university of graz, graz, austria.",bmj open,bmj open,2044-6055,2044-6055,2.4,2.7,"MEDICINE, GENERAL & INTERNAL|Q1|80/325","cardiff university, division of endocrinology and diabetology, medical university of graz, cardiff university, kobenhavns universitet sundhedsvidenskabelige fakultet, cardiff university, katholieke universiteit leuven, cardiff university, cardiff university, division of endocrinology and diabetology, medical university of graz",Unknown,cardiff university,190,39.6,190.0,Low (0-50)
6,association between adipose deposition and mortality among adults without major cardiovascular risk factors.,to examine the association between adiposity and mortality in u.s. adults without major cardiovascular risk factors.,diabetes & metabolism,eng,2024,Nov,"Claudel Sophie E, Verma Ashish","department of medicine, boston medical center, boston, ma, usa., department of medicine, section of nephrology, boston university chobanian & avedisian school of medicine, boston, ma, usa. electronic address: ashverma@bu.edu.",diabetes & metabolism,diabetes metab,1262-3636,1878-1780,4.6,5.1,ENDOCRINOLOGY & METABOLISM|Q1|36/186,"department of medicine, boston medical center, department of medicine, boston university chobanian & avedisian school of medicine",Unknown,boston university,78,54.1,78.0,Medium (50-75)
7,a preliminary assessment of barriers and facilitators to accessing footcare in homeless shelters: a scoping review.,"by examining the scientific literature, this scoping review aims to explore the most common foot problems people experiencing homelessness (peh) experience, as well as to explore the potential strategies for addressing foot problems in peh, such as foot clinics, foot screening and foot care for adults experiencing homelessness.",annals of vascular surgery,eng,2024,Nov,"Benadda Imen, Lozano-Franco Rebecca, Coutu Félix-Antoine, Wells Sarah, Ades Matthew, Nauche Bénédicte, Drudi Laura M","faculty of medicine and health sciences, mcgill university, montreal, qc., faculty of medicine and health sciences, mcgill university, montreal, qc., faculty of medicine and health sciences, mcgill university, montreal, qc., innovation hub, centre de recherche du centre hospitalier de montréal, montréal, qc., department of medicine, mcgill university, division of general internal medicine, montréal, qc., medical libraries, centre hospitalier de l'université de montréal, montréal, qc., innovation hub, centre de recherche du centre hospitalier de montréal, montréal, qc; division of vascular surgery, centre hospitalier de l'université de montréal montréal, qc. electronic address: laura.drudi.med@ssss.gouv.qc.ca.",annals of vascular surgery,ann vasc surg,0890-5096,1615-5947,1.4,1.4,SURGERY|Q3|165/290,"faculty of medicine and health sciences, mcgill university, faculty of medicine and health sciences, mcgill university, faculty of medicine and health sciences, mcgill university, mcgill university, centre hospitalier de l'université de montréal, centre hospitalier de l'université de montréal",scoping review,mcgill university,49,72.3,49.0,Medium (50-75)
8,elevated lipid accumulation product trajectory patterns are associated with increasing incident risk of type 2 diabetes mellitus in china.,our study aimed to identify the trajectory patterns of lipid accumulation product (lap) and investigate their association with the incident risk of type 2 diabetes mellitus (t2dm) in china.,preventive medicine,eng,2024,Nov,"Wu Yuying, Zhang Yanyan, Zhao Yang, Zhang Xing, Gu Minqi, Huo Weifeng, Fu Xueru, Li Xi, Guo Botang, Li Jianxin, Lu Xiangfeng, Hu Fulan, Hu Dongsheng, Zhang Ming","department of biostatistics and epidemiology, school of public health, shenzhen university medical school, shenzhen, guangdong, pr china., department of epidemiology, center for global health, school of public health, nanjing medical university, nanjing, jiangsu, pr china., department of general practice, affiliated luohu hospital of shenzhen university medical school, shenzhen, guangdong, pr china., department of biostatistics and epidemiology, school of public health, shenzhen university medical school, shenzhen, guangdong, pr china., department of biostatistics and epidemiology, school of public health, shenzhen university medical school, shenzhen, guangdong, pr china., department of epidemiology and biostatistics, college of public health, zhengzhou university, zhengzhou, henan, pr china., department of epidemiology and biostatistics, college of public health, zhengzhou university, zhengzhou, henan, pr china., department of epidemiology and biostatistics, college of public health, zhengzhou university, zhengzhou, henan, pr china., department of general practice, affiliated luohu hospital of shenzhen university medical school, shenzhen, guangdong, pr china., key laboratory of cardiovascular epidemiology, chinese academy of medical sciences, department of epidemiology, fuwai hospital, national center for cardiovascular diseases, chinese academy of medical sciences and peking union medical college, beijing, pr china., key laboratory of cardiovascular epidemiology, chinese academy of medical sciences, department of epidemiology, fuwai hospital, national center for cardiovascular diseases, chinese academy of medical sciences and peking union medical college, beijing, pr china., department of biostatistics and epidemiology, school of public health, shenzhen university medical school, shenzhen, guangdong, pr china., department of biostatistics and epidemiology, school of public health, shenzhen university medical school, shenzhen, guangdong, pr china; department of general practice, affiliated luohu hospital of shenzhen university medical school, shenzhen, guangdong, pr china., department of biostatistics and epidemiology, school of public health, shenzhen university medical school, shenzhen, guangdong, pr china. electronic address: zhangming1720@sina.com.",preventive medicine,prev med,0091-7435,1096-0260,4.3,4.2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|47/403","shenzhen university medical school, nanjing medical university, luohu hospital, shenzhen university medical school, shenzhen university medical school, shenzhen university medical school, zhengzhou university, zhengzhou university, zhengzhou university, luohu hospital, shenzhen university medical school, chinese academy of medical sciences, fuwai hospital, national center for cardiovascular diseases, chinese academy of medical sciences, peking union medical college, chinese academy of medical sciences, fuwai hospital, national center for cardiovascular diseases, chinese academy of medical sciences, peking union medical college, shenzhen university medical school, shenzhen university medical school, luohu hospital, shenzhen university medical school, shenzhen university medical school",Unknown,shenzhen university,351–400,34.3,375.5,Low (0-50)
9,"general practice sleep scale - the ""gpss"" - a proposed new tool for use in general practice for risk assessment of obstructive sleep apnoea.","this pilot study investigated a new simplified osa screening tool that could be used in primary care/gp settings - the ""gpss"" tool - ""general practice sleep scale"" and compared against common existing osa screening tools.",sleep medicine,eng,2024,Nov,"Howarth Timothy, Hedger Joe, Chen Winnie, Garg Himanshu, Heraganahally Subash S","darwin respiratory and sleep health, darwin private hospital, darwin, northern territory, australia; department of technical physics, university of eastern finland, kuopio, finland., flinders university, college of medicine and public health, darwin, northern territory, australia., flinders university, college of medicine and public health, darwin, northern territory, australia; general practice, danila dilba, aboriginal health service, darwin, northern territory, australia; menzies school of health research, darwin, northern territory, australia., department of respiratory and sleep medicine, royal darwin hospital, darwin, northern territory, australia., darwin respiratory and sleep health, darwin private hospital, darwin, northern territory, australia; department of respiratory and sleep medicine, royal darwin hospital, darwin, northern territory, australia; school of medicine, charles darwin university, darwin, northern territory, australia. electronic address: subash.heraganahally@nt.gov.au.",sleep medicine,sleep med,1389-9457,1878-5506,3.8,4.0,CLINICAL NEUROLOGY|Q1|59/277,"darwin private hospital, university of eastern finland, flinders university, college of medicine and public health, flinders university, college of medicine and public health, aboriginal health service, menzies school of health research, royal darwin hospital, darwin private hospital, royal darwin hospital, charles darwin university",pilot study,flinders university,301–350,35.4,325.5,Low (0-50)
